,q1,q2,q3,q4,q5,q6,q7
A lot,0.0,0.0,0.17699982874253314,0.0,0.0,0.014992375965688675,0.0
"It's important for a person to be honest, kind and loyal.",0.22683388666178078,0.0,0.0,0.0,0.0,0.0,0.0
"It's important for a person to be honest, kind, and loyal.",0.7731661133382192,0.0,0.0,0.0,0.0,0.0,0.0
No,0.0,0.26569286030575595,0.0,0.0,0.6004565726885227,0.0,0.0
Not at all,0.0,0.0,0.0,0.0,0.0,0.01600748604089965,0.0
Not much,0.0,0.0,0.4253467709238111,0.0,0.0,0.6018464798005934,0.0
Some,0.0,0.0,0.39765340033365565,0.0,0.0,0.3671536581928174,0.0
"Some experts say it's important to drink milk, but the data are inconclusive.",0.0,0.0,0.0,0.4846496406494952,0.0,0.0,0.0
"Some experts say it's important to drink milk, but the data is inconclusive.",0.0,0.0,0.0,0.5153503593505049,0.0,0.0,0.0
Somewhat important,0.0,0.0,0.0,0.0,0.0,0.0,0.6929994492324354
Somewhat unimportant,0.0,0.0,0.0,0.0,0.0,0.0,0.005691654112506103
Very important,0.0,0.0,0.0,0.0,0.0,0.0,0.30130889665505733
Yes,0.0,0.7343071396942441,0.0,0.0,0.3995434273114774,0.0,0.0
